G:\IMG\center_2020_04_17_18_08_33_655.jpg, G:\IMG\left_2020_04_17_18_08_33_655.jpg, G:\IMG\right_2020_04_17_18_08_33_655.jpg, 0, 0, 0, 7.961223E-05
G:\IMG\center_2020_04_17_18_08_34_129.jpg, G:\IMG\left_2020_04_17_18_08_34_129.jpg, G:\IMG\right_2020_04_17_18_08_34_129.jpg, 0, 0, 0, 7.790289E-05
G:\IMG\center_2020_04_17_18_08_34_292.jpg, G:\IMG\left_2020_04_17_18_08_34_292.jpg, G:\IMG\right_2020_04_17_18_08_34_292.jpg, 0, 0, 0, 7.997444E-05
G:\IMG\center_2020_04_17_18_08_34_446.jpg, G:\IMG\left_2020_04_17_18_08_34_446.jpg, G:\IMG\right_2020_04_17_18_08_34_446.jpg, 0, 0, 0, 8.148732E-05
G:\IMG\center_2020_04_17_18_08_34_640.jpg, G:\IMG\left_2020_04_17_18_08_34_640.jpg, G:\IMG\right_2020_04_17_18_08_34_640.jpg, 0, 0.5586795, 0, 1.130179
G:\IMG\center_2020_04_17_18_08_34_745.jpg, G:\IMG\left_2020_04_17_18_08_34_745.jpg, G:\IMG\right_2020_04_17_18_08_34_745.jpg, 0, 0.9078171, 0, 2.314463
G:\IMG\center_2020_04_17_18_08_34_973.jpg, G:\IMG\left_2020_04_17_18_08_34_973.jpg, G:\IMG\right_2020_04_17_18_08_34_973.jpg, 0, 1, 0, 4.899342
G:\IMG\center_2020_04_17_18_08_35_401.jpg, G:\IMG\left_2020_04_17_18_08_35_401.jpg, G:\IMG\right_2020_04_17_18_08_35_401.jpg, 0, 1, 0, 8.78767
G:\IMG\center_2020_04_17_18_08_35_500.jpg, G:\IMG\left_2020_04_17_18_08_35_500.jpg, G:\IMG\right_2020_04_17_18_08_35_500.jpg, 0, 1, 0, 9.906922
G:\IMG\center_2020_04_17_18_08_35_615.jpg, G:\IMG\left_2020_04_17_18_08_35_615.jpg, G:\IMG\right_2020_04_17_18_08_35_615.jpg, 0, 0.8252359, 0, 11.17229
G:\IMG\center_2020_04_17_18_08_36_333.jpg, G:\IMG\left_2020_04_17_18_08_36_333.jpg, G:\IMG\right_2020_04_17_18_08_36_333.jpg, -1, 0, 0, 10.04333
G:\IMG\center_2020_04_17_18_08_36_510.jpg, G:\IMG\left_2020_04_17_18_08_36_510.jpg, G:\IMG\right_2020_04_17_18_08_36_510.jpg, -1, 0, 0, 9.8036
G:\IMG\center_2020_04_17_18_08_38_225.jpg, G:\IMG\left_2020_04_17_18_08_38_225.jpg, G:\IMG\right_2020_04_17_18_08_38_225.jpg, 0, 1, 0, 13.26691
G:\IMG\center_2020_04_17_18_08_38_304.jpg, G:\IMG\left_2020_04_17_18_08_38_304.jpg, G:\IMG\right_2020_04_17_18_08_38_304.jpg, 0, 0.6828715, 0, 13.81785
G:\IMG\center_2020_04_17_18_08_38_423.jpg, G:\IMG\left_2020_04_17_18_08_38_423.jpg, G:\IMG\right_2020_04_17_18_08_38_423.jpg, 0, 0.3493954, 0, 14.0538
G:\IMG\center_2020_04_17_18_08_38_535.jpg, G:\IMG\left_2020_04_17_18_08_38_535.jpg, G:\IMG\right_2020_04_17_18_08_38_535.jpg, 0, 0.02117053, 0, 14.60146
G:\IMG\center_2020_04_17_18_08_38_662.jpg, G:\IMG\left_2020_04_17_18_08_38_662.jpg, G:\IMG\right_2020_04_17_18_08_38_662.jpg, 0, 0, 0, 13.8848
G:\IMG\center_2020_04_17_18_08_38_772.jpg, G:\IMG\left_2020_04_17_18_08_38_772.jpg, G:\IMG\right_2020_04_17_18_08_38_772.jpg, 0, 0, 0, 14.26826
G:\IMG\center_2020_04_17_18_08_38_910.jpg, G:\IMG\left_2020_04_17_18_08_38_910.jpg, G:\IMG\right_2020_04_17_18_08_38_910.jpg, 0, 0, 0, 13.52853
G:\IMG\center_2020_04_17_18_08_39_573.jpg, G:\IMG\left_2020_04_17_18_08_39_573.jpg, G:\IMG\right_2020_04_17_18_08_39_573.jpg, 0, 0, 0, 13.55894
G:\IMG\center_2020_04_17_18_08_39_673.jpg, G:\IMG\left_2020_04_17_18_08_39_673.jpg, G:\IMG\right_2020_04_17_18_08_39_673.jpg, 0, 0.1763172, 0, 12.91483
G:\IMG\center_2020_04_17_18_08_39_797.jpg, G:\IMG\left_2020_04_17_18_08_39_797.jpg, G:\IMG\right_2020_04_17_18_08_39_797.jpg, 0, 0.5786833, 0, 13.56073
G:\IMG\center_2020_04_17_18_08_40_068.jpg, G:\IMG\left_2020_04_17_18_08_40_068.jpg, G:\IMG\right_2020_04_17_18_08_40_068.jpg, 0, 0, 0, 13.58871
G:\IMG\center_2020_04_17_18_08_40_174.jpg, G:\IMG\left_2020_04_17_18_08_40_174.jpg, G:\IMG\right_2020_04_17_18_08_40_174.jpg, -0.3402999, 0, 0, 13.39604
G:\IMG\center_2020_04_17_18_08_40_306.jpg, G:\IMG\left_2020_04_17_18_08_40_306.jpg, G:\IMG\right_2020_04_17_18_08_40_306.jpg, -0.7308964, 0, 0, 12.44151
G:\IMG\center_2020_04_17_18_08_40_410.jpg, G:\IMG\left_2020_04_17_18_08_40_410.jpg, G:\IMG\right_2020_04_17_18_08_40_410.jpg, -1, 0, 0, 12.61051
G:\IMG\center_2020_04_17_18_08_40_900.jpg, G:\IMG\left_2020_04_17_18_08_40_900.jpg, G:\IMG\right_2020_04_17_18_08_40_900.jpg, 0, 0, 0, 11.6923
G:\IMG\center_2020_04_17_18_08_46_844.jpg, G:\IMG\left_2020_04_17_18_08_46_844.jpg, G:\IMG\right_2020_04_17_18_08_46_844.jpg, 0, 1, 0, 15.13601
G:\IMG\center_2020_04_17_18_08_46_947.jpg, G:\IMG\left_2020_04_17_18_08_46_947.jpg, G:\IMG\right_2020_04_17_18_08_46_947.jpg, 0, 0.6863109, 0, 16.12358
G:\IMG\center_2020_04_17_18_08_47_389.jpg, G:\IMG\left_2020_04_17_18_08_47_389.jpg, G:\IMG\right_2020_04_17_18_08_47_389.jpg, 0, 0, 0, 15.58838
G:\IMG\center_2020_04_17_18_08_47_503.jpg, G:\IMG\left_2020_04_17_18_08_47_503.jpg, G:\IMG\right_2020_04_17_18_08_47_503.jpg, 0, 0, 0, 15.60324
G:\IMG\center_2020_04_17_18_08_47_605.jpg, G:\IMG\left_2020_04_17_18_08_47_605.jpg, G:\IMG\right_2020_04_17_18_08_47_605.jpg, 0, 0.1257993, 0, 15.22455
G:\IMG\center_2020_04_17_18_08_47_704.jpg, G:\IMG\left_2020_04_17_18_08_47_704.jpg, G:\IMG\right_2020_04_17_18_08_47_704.jpg, 0, 0.4266402, 0, 15.60463
G:\IMG\center_2020_04_17_18_08_47_813.jpg, G:\IMG\left_2020_04_17_18_08_47_813.jpg, G:\IMG\right_2020_04_17_18_08_47_813.jpg, 0, 0.7336359, 0, 16.13452
G:\IMG\center_2020_04_17_18_08_47_912.jpg, G:\IMG\left_2020_04_17_18_08_47_912.jpg, G:\IMG\right_2020_04_17_18_08_47_912.jpg, 0, 1, 0, 17.1096
G:\IMG\center_2020_04_17_18_08_48_027.jpg, G:\IMG\left_2020_04_17_18_08_48_027.jpg, G:\IMG\right_2020_04_17_18_08_48_027.jpg, -0.3424782, 1, 0, 18.28702
G:\IMG\center_2020_04_17_18_08_48_131.jpg, G:\IMG\left_2020_04_17_18_08_48_131.jpg, G:\IMG\right_2020_04_17_18_08_48_131.jpg, -0.6524503, 0.690028, 0, 18.9403
G:\IMG\center_2020_04_17_18_08_48_244.jpg, G:\IMG\left_2020_04_17_18_08_48_244.jpg, G:\IMG\right_2020_04_17_18_08_48_244.jpg, -0.9917557, 0.3507226, 0, 19.08585
G:\IMG\center_2020_04_17_18_08_48_351.jpg, G:\IMG\left_2020_04_17_18_08_48_351.jpg, G:\IMG\right_2020_04_17_18_08_48_351.jpg, -1, 0.02902631, 0, 18.78621
G:\IMG\center_2020_04_17_18_08_48_459.jpg, G:\IMG\left_2020_04_17_18_08_48_459.jpg, G:\IMG\right_2020_04_17_18_08_48_459.jpg, -1, 0, 0, 18.38537
G:\IMG\center_2020_04_17_18_08_48_560.jpg, G:\IMG\left_2020_04_17_18_08_48_560.jpg, G:\IMG\right_2020_04_17_18_08_48_560.jpg, -0.6962515, 0, 0, 18.39763
G:\IMG\center_2020_04_17_18_08_48_662.jpg, G:\IMG\left_2020_04_17_18_08_48_662.jpg, G:\IMG\right_2020_04_17_18_08_48_662.jpg, -0.3894556, 0, 0, 18.14384
G:\IMG\center_2020_04_17_18_08_48_764.jpg, G:\IMG\left_2020_04_17_18_08_48_764.jpg, G:\IMG\right_2020_04_17_18_08_48_764.jpg, -0.08284479, 0.3066108, 0, 18.24696
G:\IMG\center_2020_04_17_18_08_48_869.jpg, G:\IMG\left_2020_04_17_18_08_48_869.jpg, G:\IMG\right_2020_04_17_18_08_48_869.jpg, 0, 0.3038019, 0, 18.45644
